Name	Treatment	Genotype	Time	new_id	Rep
Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Etoh	WT	3	WT_Etoh_3	1
Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Etoh	WT	3	WT_Etoh_3	2
Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Etoh	WT	3	WT_Etoh_3	3
Synthego_Wildtype_Nuclear1_S62_PDUI	Nuclear	WT	0	WT_Nuclear	1
Synthego_Wildtype_Nuclear2_S63_PDUI	Nuclear	WT	0	WT_Nuclear	2
Synthego_Wildtype_Nuclear3_S64_PDUI	Nuclear	WT	0	WT_Nuclear	3
Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	NTC	WT	0	WT_Serum_Starved	1
Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	NTC	WT	0	WT_Serum_Starved	2
Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	NTC	WT	0	WT_Serum_Starved	3
Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Peroxide	WT	3	WT_Perox_3	1
Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Peroxide	WT	3	WT_Perox_3	2
Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI	Peroxide	WT	3	WT_Perox_3	3
